giants,NFC,East,4,MetLife
redskins,NFC,East,3
eagles,NFC,East,2
cowboys,NFC,East,1
jets,AFC,East,4,MetLife
bills,AFC,East,3
dolphins,AFC,East,2
patriots,AFC,East,1
jaguars,AFC,South,4
titans,AFC,South,3
texans,AFC,South,1
colts,AFC,South,2
panthers,NFC,South,3
falcons,NFC,South,2
buccaneers,NFC,South,4
saints,NFC,South,1
Broncos,AFC,West,3,SportsAuthority
Chiefs,AFC,West,1,Arrowhead
Chargers,AFC,West,2
Raiders,AFC,West,4
Lions,NFC,North,4
Bears,NFC,North,1
Packers,NFC,North,3
Vikings,NFC,North,2
Cardinals,NFC,West,4
Rams,NFC,West,1
Seahawks,NFC,West,2
49ers,NFC,West,3
Ravens,AFC,North,1
Steelers,AFC,North,2
Browns,AFC,North,3
Bengals,AFC,North,4